Measurement
;BCTZ_16cikel za lukata loceno
Graph
;2 point resistances

Series
;2pt_fwd_resistance [Ohm] X-expression: $N11.TM
;Assigned to Axis: Time [min]
;2pt_fwd_resistance [Ohm] Y-expression: $N1.M2
;Assigned to Axis: Resistance [Ohm]

;2pt_rev_resistance [Ohm] X-expression: $N11.TM
;Assigned to Axis: Time [min]
;2pt_rev_resistance [Ohm] Y-expression: $N2.M2
;Assigned to Axis: Resistance [Ohm]

;DMM avg R [Ohm] X-expression: $N11.TM
;Assigned to Axis: Time [min]
;DMM avg R [Ohm] Y-expression: ($N1.M2+$N2.M2)/2
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for 2pt_fwd_resistance [Ohm];Y data for 2pt_fwd_resistance [Ohm];X data for 2pt_rev_resistance [Ohm];Y data for 2pt_rev_resistance [Ohm];X data for DMM avg R [Ohm];Y data for DMM avg R [Ohm];
;85;1335.42086666683;2386468;1329.71718333196;2494878;1335.42086659349;2178301.5;
;86;1336.37116666767;2291664;1330.66701667034;2397899;1336.37116665719;2093247.5;
;87;1337.32108333264;2199765;1331.61853333586;2304834;1337.32108324883;2010401;
;88;1338.27051666565;2113398;1332.56816667155;2215639;1338.27051658183;1933500.5;
;89;1339.22209999873;2031206;1333.51656667306;2130145;1339.2220999673;1859270.5;
;90;1340.17361667473;1951605;1334.46751666954;2048352;1340.17361669568;1787253;
;91;1341.12674999982;1874562;1335.42086666683;1970135;1341.12674995791;1717405;
;92;1342.07675000187;1802874;1336.37116666767;1894831;1342.07674992853;1652517.5;
;93;1343.02628334146;1732742;1337.32108333264;1821037;1343.02628333098;1589151;
;94;1343.97628333303;1666833;1338.27051666565;1753603;1343.9762833016;1528937.5;
;95;1344.92790000513;1602998;1339.22209999873;1687335;1344.92789995275;1470878;
;96;1345.87761666742;1539891;1340.17361667473;1622901;1345.8776166779;1414165;
;97;1346.82700000238;1190513;1341.12674999982;1560248;1346.82699988713;1189948.5;
;98;1347.77866667253;1148914;1342.07675000187;1502161;1347.77866666205;1147479.5;
;99;1348.73050000635;1109570;1343.02628334146;1445560;1348.7304998911;1107181.5;
;100;1349.67976666521;1070773;1343.97628333303;1391042;1349.67976661283;1068038;
;101;1350.62868333771;1033684;1344.92790000513;1338758;1350.62868326437;1030653.5;
;102;1351.57791666803;998072.7;1345.87761666742;1288439;1351.57791658421;994810.9;
;103;1352.53006667015;964108.4;1346.82700000238;1189384;1352.53006660729;960523.4;
;104;1353.48108333419;930741.4;1347.77866667253;1146045;1353.48108321894;927244.1;
;105;1354.43086667452;898813.9;1348.73050000635;1104793;1354.43086661166;895342.3;
;106;1355.38055000827;868330.6;1349.67976666521;1065303;1355.38054992445;864775.65;
;107;1356.33046667324;838487.3;1350.62868333771;1027623;1356.33046666277;835057.25;
;108;1357.28203333681;809376.7;1351.57791666803;991549.1;1357.28203334729;806212.8;
;109;1358.23576666997;781376.3;1352.53006667015;956938.4;1358.23576665949;778397.55;
;110;1359.18523333152;754547.8;1353.48108333419;923746.8;1359.1852332477;751765.05;
;111;1360.13525000308;728653.2;1354.43086667452;891870.7;1360.13524991926;726145.25;
;112;1361.08576666564;703988;1355.38055000827;861220.7;1361.08576656086;701648.65;
;113;1362.03788333922;680141.5;1356.33046667324;831627.2;1362.03788332874;678026.7;
;114;1362.98961666645;657118;1357.28203333681;803048.9;1362.98961662455;655349.6;
;115;1363.94148333929;634985.5;1358.23576666997;775418.8;1363.94148326595;633528.3;
;116;1364.89088333328;613741;1359.18523333152;748982.3;1364.89088333328;612540.85;
;117;1365.84081666777;593338.3;1360.13525000308;723637.3;1365.84081662586;592356.3;
;118;1366.79048333201;573434.2;1361.08576666564;699309.3;1366.79048323771;572775.85;
;119;1367.74050000357;554424.4;1362.03788333922;675911.9;1367.74049990927;553978.75;
;120;1368.69206666714;535950.9;1362.98961666645;653581.2;1368.69206659379;535770.1;
;121;1369.64151666965;518146.9;1363.94148333929;632071.1;1369.64151662774;518227.95;
;122;1370.59278333443;501064.4;1364.89088333328;611340.7;1370.59278321918;501350.5;
;123;1371.54258333379;484545.9;1365.84081666777;591374.3;1371.54258331284;485057.6;
;124;1372.49211667338;468718.4;1366.79048333201;572117.5;1372.49211657909;469451.7;
;125;1373.44266667496;453568.3;1367.74050000357;553533.1;1373.44266663305;454495.1;
;126;1374.39388334169;439023;1368.69206666714;535589.3;1374.39388324739;440123.2;
;127;1375.34338333178;425111.3;1369.64151666965;518309;1375.34338324796;426391.75;
;128;1376.29296666943;411733.1;1370.59278333443;501636.6;1376.29296662752;413179.15;
;129;1377.24273334024;398898.3;1371.54258333379;485569.3;1377.24273331929;400489.7;
;130;1378.19281666889;386378.7;1372.49211667338;470185;1378.19281665841;388082.6;
;131;1379.1425666702;374298.8;1373.44266667496;455421.9;1379.14256664924;376127.4;
;132;1380.09228333249;362780.2;1374.39388334169;441223.4;1380.09228321724;364703.15;
;133;1381.04400000069;351670.1;1375.34338333178;427672.2;1381.04399995878;353674.3;
;134;1381.99506667326;340966.8;1376.29296666943;414625.2;1381.99506667326;343055;
;135;1382.94590000412;330647.1;1377.24273334024;402081.1;1382.94589997269;332809.25;
;136;1383.89465000248;320784.9;1378.19281666889;389786.5;1383.89464987675;322996.35;
;137;1384.84260000056;311256.1;1379.1425666702;377956;1384.84260000056;313502;
;138;1385.79241666943;301985.3;1380.09228333249;366626.1;1385.79241665895;304262.1;
;139;1386.74431667081;292942;1381.04400000069;355678.5;1386.74431656604;295232.65;
;140;1387.69351667259;284230.1;1381.99506667326;345143.2;1387.69351660972;286523.35;
;141;1388.64541667397;275827.1;1382.94590000412;334971.4;1388.64541666349;278127.4;
;142;1389.59678333486;267760.2;1383.89465000248;325207.8;1389.59678333486;270047.1;
;143;1390.54495000513;260020;1384.84260000056;315747.9;1390.54494988988;262289.05;
;144;1391.49280000711;252526.2;1385.79241666943;306538.9;1391.49279994424;254770.1;
;145;1392.44441666873;245268.4;1386.74431667081;297523.3;1392.44441659539;247464.05;
;146;1393.39628334157;238272.7;1387.69351667259;288816.6;1393.3962832368;240430.35;
;147;1394.34740000172;231557;1388.64541667397;280427.7;1394.34739992837;233668.05;
;148;1395.30081666657;225061.9;1389.59678333486;272334;1395.30081658275;227110.9;
;149;1396.25075000105;218855.4;1390.54495000513;264558.1;1396.25074987533;220853.95;
;150;1397.20023333211;213264.4;1391.49280000711;257014;1397.20023331116;215230.25;
;151;1398.15026667318;208411.1;1392.44441666873;249659.7;1398.15026654745;210353.75;
;152;1399.10331667168;204320.8;1393.39628334157;242588;1399.10331657738;206245.2;
;153;1400.05653333385;200959.3;1394.34740000172;235779.1;1400.05653321859;202867.6;
;154;1401.0062333371;198251.8;1395.30081666657;229159.9;1401.00623323233;200155.8;
;155;1401.9546166691;196077.5;1396.25075000105;222852.5;1401.95461665862;197982.7;
;156;1402.90411666967;194374.6;1397.20023333211;217196.1;1402.90411665919;196273.4;
;157;1403.85183333652;193041.1;1398.15026667318;212296.4;1403.85183322127;194942.1;
;158;1404.80211666785;192028;1399.10331667168;208169.6;1404.80211658403;193930;
;159;1405.75325000798;191296.1;1400.05653333385;204775.9;1405.75324997655;193203.55;
;160;1406.70350000029;190757.5;1401.0062333371;202059.8;1406.70349992695;192668.65;
;161;1407.65301667037;190399.9;1401.9546166691;199887.9;1407.65301662846;192313;
;162;1408.60251667094;190206.3;1402.90411666967;198172.2;1408.60251662903;192126.7;
;163;1409.55381667474;190149.7;1403.85183333652;196843.1;1409.55381663283;192081.55;
;164;1410.50390000339;190171.7;1404.80211666785;195832;1410.50389997195;192108.35;
;165;1411.45341667347;190252.2;1405.75325000798;195111;1411.45341667347;192190.7;
;166;1412.40450000507;190348.3;1406.70350000029;194579.8;1412.40449995268;192288.3;
;167;1413.35381667246;190446.6;1407.65301667037;194226.1;1413.35381664103;192388;
;168;1414.30355000426;190567.7;1408.60251667094;194047.1;1414.30354992044;192509.15;
;169;1415.25515000685;190715.2;1409.55381667474;194013.4;1415.25515001733;192660.2;
;170;1416.20459999889;190883;1410.50390000339;194045;1416.20459990459;192830.2;
;171;1417.15489999973;191026.2;1411.45341667347;194129.2;1417.1548999683;192963.45;
;172;1418.1063666672;191135;1412.40450000507;194228.3;1418.10636658338;193073.95;
;173;1419.05590000679;191255.9;1413.35381667246;194329.4;1419.05589998583;193197.1;
;174;1420.00383333536;191412.5;1414.30355000426;194450.6;1420.00383327249;193355.8;
;175;1420.95356666716;191591.2;1415.25515000685;194605.2;1420.95356655191;193534.8;
;176;1421.9048999995;191772.8;1416.20459999889;194777.4;1421.90489995759;193717.45;
;177;1422.85501666716;191959.6;1417.15489999973;194900.7;1422.85501656239;193905.35;
;178;1423.80700000562;192150.2;1418.1063666672;195012.9;1423.80699998466;194093.05;
;179;1424.76026666583;192340.9;1419.05590000679;195138.3;1424.76026659249;194284.15;
;180;1425.71136666695;192534.4;1420.00383333536;195299.1;1425.71136658313;194478.8;
;181;1426.66113333777;192744.7;1420.95356666716;195478.4;1426.66113326442;194689.3;
;182;1427.6127666689;192961.6;1421.9048999995;195662.1;1427.61276662699;194906.7;
;183;1428.56413334026;193174.3;1422.85501666716;195851.1;1428.56413329835;195115.65;
;184;1429.51388334157;193349.7;1423.80700000562;196035.9;1429.51388328918;195288.8;
;185;1430.46396667021;193462;1424.76026666583;196227.4;1430.4639666283;195399.5;
;186;1431.41535000061;193552.5;1425.71136666695;196423.2;1431.41535000061;195488;
;187;1432.37035000697;193633.1;1426.66113333777;196633.9;1432.3703499441;195565.35;
;188;1433.32194999908;193701.3;1427.6127666689;196851.8;1433.32194989431;195632.25;
;189;1434.27165000234;193785.5;1428.56413334026;197057;1434.27164990804;195708.85;
;190;1435.22339999909;193872.8;1429.51388334157;197227.9;1435.22339990479;195795.95;
;191;1436.17508333875;194006.3;1430.46396667021;197337;1436.17508323397;195928.35;
;192;1437.12480000104;194165.6;1431.41535000061;197423.5;1437.12479995913;196089.05;
;193;1438.07431667112;194305.7;1432.37035000697;197497.6;1438.07431666064;196224.25;
;194;1439.0243333322;194433.1;1433.32194999908;197563.2;1439.0243333322;196350.2;
;195;1439.97421666863;194584.5;1434.27165000234;197632.2;1439.97421665816;196503.55;
;196;1440.92375000822;194762.9;1435.22339999909;197719.1;1440.9237499244;196681.9;
;197;1441.87371667125;194936.9;1436.17508333875;197850.4;1441.87371662934;196855.65;
;198;1442.82541666995;195084.8;1437.12480000104;198012.5;1442.82541665947;197001.85;
;199;1443.7765499996;195182.8;1438.07431667112;198142.8;1443.77654990531;197096.5;
;200;1444.72608333919;195252.9;1439.0243333322;198267.3;1444.72608331824;197160.85;
;201;1445.67608334124;195316.8;1439.97421666863;198422.6;1445.67608328885;197220.45;
;202;1446.6258833406;195376.9;1440.92375000822;198600.9;1446.62588323583;197282.5;
;203;1447.575699999;195431.5;1441.87371667125;198774.4;1447.57569989422;197333.5;
;204;1448.52414999856;195395.1;1442.82541666995;198918.9;1448.52414998808;197279.8;
;205;1449.47710000095;195237;1443.7765499996;199010.2;1449.47709993809;197115.75;
;206;1450.42820000206;195162.7;1444.72608333919;199068.8;1450.42819992872;197043.9;
;207;1451.37791667483;195246.1;1445.67608334124;199124.1;1451.3779166434;197132.45;
;208;1452.32766666566;195398.4;1446.6258833406;199188.1;1452.32766662375;197282.3;
;209;1453.27773333527;195568.8;1447.575699999;199235.5;1453.27773327241;197457.4;
;210;1454.2293666664;195760.9;1448.52414999856;199164.5;1454.2293666245;197645.4;
;211;1455.18073333777;195930.5;1449.47710000095;198994.5;1455.18073329586;197820.75;
;212;1456.13005000516;196093.5;1450.42820000206;198925.1;1456.1300499842;197977.95;
;213;1457.08040000405;196232.9;1451.37791667483;199018.8;1457.08040002501;198116.7;
;214;1458.03151667467;196378.6;1452.32766666566;199166.2;1458.03151655942;198264.7;
;215;1458.98286666605;196514;1453.27773333527;199346;1458.98286667652;198395.05;
;216;1459.93355000275;196611.5;1454.2293666664;199529.9;1459.93354992941;198487.8;
;217;1460.8841833414;196678.1;1455.18073333777;199711;1460.88418335188;198554.1;
;218;1461.83585000108;196732.8;1456.13005000516;199862.4;1461.83584996965;198600.05;
;219;1462.78189999983;196765.3;1457.08040000405;200000.5;1462.7818998741;198633.4;
;220;1463.73163333163;196781;1458.03151667467;200150.8;1463.73163330019;198640.85;
;221;1464.68008334166;196781.7;1458.98286666605;200276.1;1464.68008324737;198639.4;
;222;1465.6277666695;196757.2;1459.93355000275;200364.1;1465.62776654377;198607.65;
;223;1466.57541666878;196729.4;1460.8841833414;200430.1;1466.57541658496;198578.3;
;224;1467.52370000468;196740.1;1461.83585000108;200467.3;1467.52369992086;198584.5;
;225;1468.47111667274;196749.5;1462.78189999983;200501.5;1468.47111667274;198590.75;
;226;1469.41905000131;196765.1;1463.73163333163;200500.7;1469.4190499594;198608.35;
;227;1470.37061666488;196817.2;1464.68008334166;200497.1;1470.37061664392;198654.95;
;228;1471.320700004;196850.6;1465.6277666695;200458.1;1471.32069999352;198682.75;
;229;1472.2710666724;196879.8;1466.57541666878;200427.2;1472.2710665781;198703.6;
;230;1473.22275000159;196920.3;1467.52370000468;200428.9;1473.22274990729;198745.65;
;231;1474.17228334118;196952.2;1468.47111667274;200432;1474.17228332022;198776.2;
;232;1475.12184999883;197000.1;1469.41905000131;200451.6;1475.12184998835;198823.05;
;233;1476.07573333662;197074.2;1470.37061666488;200492.7;1476.0757333471;198894.05;
;234;1477.02501666499;197129.5;1471.320700004;200514.9;1477.02501663356;198949.3;
;235;1477.97478333581;197187.4;1472.2710666724;200527.4;1477.97478331486;199003.45;
;236;1478.92478333786;197267.3;1473.22275000159;200571;1478.92478328547;199082.45;
;237;1479.87465000479;197332;1474.17228334118;200600.2;1479.87464991049;199143.65;
;238;1480.82238334115;197389.5;1475.12184999883;200646;1480.82238332019;199198.9;
;239;1481.77036666777;197406.9;1476.07573333662;200713.9;1481.770366563;199217.2;
;240;1482.72016666713;197445.7;1477.02501666499;200769.1;1482.72016665665;199250.25;
;241;1483.66865000571;197497.2;1477.97478333581;200819.5;1483.66865001619;199300.45;
;242;1484.61753333919;197535;1478.92478333786;200897.6;1484.61753326585;199335.9;
;243;1485.56763333734;197516.6;1479.87465000479;200955.3;1485.56763331639;199319.3;
;244;1486.51956666727;197512.1;1480.82238334115;201008.3;1486.51956662536;199313.5;
;245;1487.46856666636;197520.8;1481.77036666777;201027.5;1487.46856665588;199319.8;
;246;1488.42018333846;197505.1;1482.72016666713;201054.8;1488.4201833175;199297.8;
;247;1489.37208333984;197489.5;1483.66865000571;201103.7;1489.37208322459;199283;
;248;1490.32189999823;197444.8;1484.61753333919;201136.8;1490.32189987251;199243.05;
;249;1491.27148333588;197405.3;1485.56763333734;201122;1491.27148325206;199201.5;
;250;1492.22096666694;197374.2;1486.51956666727;201114.9;1492.22096655169;199162.5;
;251;1493.17309999955;197358.9;1487.46856666636;201118.8;1493.17309987382;199144.2;
;252;1494.12065000273;197358.1;1488.42018333846;201090.5;1494.1206499713;199142.15;
;253;1495.0701500033;197366.2;1489.37208333984;201076.5;1495.07014997187;199150.3;
;254;1496.02211667225;197390.3;1490.32189999823;201041.3;1496.02211654652;199169.45;
;255;1496.97348333313;197404.3;1491.27148333588;200997.7;1496.97348321788;199182.3;
;256;1497.92300000321;197400.5;1492.22096666694;200950.8;1497.92299991939;199178;
;257;1498.8713666657;197410.9;1493.17309999955;200929.5;1498.87136664474;199188.8;
;258;1499.82198333484;197421.9;1494.12065000273;200926.2;1499.82198321959;199204.5;
;259;1500.77416666551;197471.5;1495.0701500033;200934.4;1500.77416666551;199250.8;
;260;1501.72215000261;197542.9;1496.02211667225;200948.6;1501.72214990831;199326.65;
;261;1502.66981667141;197608.5;1496.97348333313;200960.3;1502.66981663997;199383.6;
;262;1503.61988334102;197601;1497.92300000321;200955.5;1503.61988328863;199378.25;
;263;1504.56780000008;197603.3;1498.8713666657;200966.7;1504.56780000008;199379.5;
;264;1505.51753333188;197626.7;1499.82198333484;200987.1;1505.51753327949;199395.95;
;265;1506.47106667282;197643.8;1500.77416666551;201030.1;1506.47106657852;199413.5;
;266;1507.42056667339;197641;1501.72215000261;201110.4;1507.42056657909;199405.25;
;267;1508.37091667228;197605.9;1502.66981667141;201158.7;1508.37091660942;199368.9;
;268;1509.32186666876;197620.6;1503.61988334102;201155.5;1509.32186655351;199380.25;
;269;1510.2737333416;197654.7;1504.56780000008;201155.7;1510.27373333112;199418.85;
;270;1511.22488334076;197702.6;1505.51753333188;201165.2;1511.22488328838;199470.3;
;271;1512.17488333234;197761.7;1506.47106667282;201183.2;1512.17488324852;199526.2;
;272;1513.12419999973;197816.5;1507.42056667339;201169.5;1513.12419993686;199579.1;
;273;1514.07213333878;197859.3;1508.37091667228;201131.9;1514.07213322353;199617.4;
;274;1515.01848333632;197866.6;1509.32186666876;201139.9;1515.01848322107;199622.45;
;275;1515.96803333494;197834.5;1510.2737333416;201183;1515.96803333494;199586.2;
;276;1516.91803333699;197757.9;1511.22488334076;201238;1516.91803330556;199508;
;277;1517.8697666747;197721.7;1512.17488333234;201290.7;1517.86976660136;199471.15;
;278;1518.82071667118;197758.8;1513.12419999973;201341.7;1518.82071667118;199512.3;
;279;1519.7723333328;197803.7;1514.07213333878;201375.5;1519.7723333328;199554.5;
;280;1520.72248333949;197871.9;1515.01848333632;201378.3;1520.72248334996;199617.85;
;281;1521.67016666732;197884.7;1515.96803333494;201337.9;1521.67016664636;199633.05;
;282;1522.62030000449;197919.1;1516.91803333699;201258.1;1522.6202999521;199664.95;
;283;1523.57198333368;197959;1517.8697666747;201220.6;1523.57198328129;199695.2;
;284;1524.52308333479;197979.3;1518.82071667118;201265.8;1524.52308327192;199715.6;
;285;1525.47295000171;197987.7;1519.7723333328;201305.3;1525.47294989694;199719.7;
;286;1526.42268333351;198050.7;1520.72248333949;201363.8;1526.42268331256;199772.7;
;287;1527.37410000293;198093.6;1521.67016666732;201381.4;1527.37409996102;199825.45;
;288;1528.32393334131;198154.1;1522.62030000449;201410.8;1528.32393332035;199889.7;
;289;1529.27380000823;198192.8;1523.57198333368;201431.4;1529.27379994537;199917.2;
;290;1530.22153333412;198226.2;1524.52308333479;201451.9;1530.22153334459;199949.9;
;291;1531.17296667304;198274.1;1525.47295000171;201451.7;1531.17296654731;199996.5;
;292;1532.12440000148;198344.5;1526.42268333351;201494.7;1532.12439989671;200067.9;
;293;1533.07535000844;198437.4;1527.37410000293;201557.3;1533.07534997701;200164.4;
;294;1534.0268000064;198543.7;1528.32393334131;201625.3;1534.02680001687;200263.9;
;295;1534.97656666674;198626.9;1529.27380000823;201641.6;1534.97656656196;200344.45;
;296;1535.92665000586;198734;1530.22153333412;201673.6;1535.92664991156;200460.65;
;297;1536.87621667399;198847.5;1531.17296667304;201718.9;1536.87621657969;200570.2;
;298;1537.82795000123;198962.7;1532.12440000148;201791.3;1537.8279498755;200682.75;
;299;1538.77746667131;199082;1533.07535000844;201891.4;1538.77746657701;200801.55;
;300;1539.72780000069;199188;1534.0268000064;201984.1;1539.7277999064;200906.75;
;301;1540.67705000052;199264.5;1534.97656666674;202062;1540.67704992718;200975.9;
;302;1541.62691666745;199263.8;1535.92665000586;202187.3;1541.6269165522;200970.65;
;303;1542.57835000637;199228.8;1536.87621667399;202292.9;1542.57834989112;200936.95;
;304;1543.53196667391;199197.7;1537.82795000123;202402.8;1543.53196656914;200893.7;
;305;1544.48214999866;199177.1;1538.77746667131;202521.1;1544.48214998818;200869.45;
;306;1545.4340166715;199186;1539.72780000069;202625.5;1545.43401662959;200884.85;
;307;1546.38731667073;199212.9;1540.67705000052;202687.3;1546.3873166393;200905.7;
;308;1547.33486667392;199245.5;1541.62691666745;202677.5;1547.33486660058;200938;
;309;1548.28491667402;199294.2;1542.57835000637;202645.1;1548.28491667402;200982.35;
;310;1549.24411667394;199319.2;1543.53196667391;202589.7;1549.24411666347;201004.35;
;311;1550.19713333342;199316.6;1544.48214999866;202561.8;1550.19713328104;200997.2;
;312;1551.14836666966;199343;1545.4340166715;202583.7;1551.14836661727;201026.6;
